Publication,Position,Age
Dortch2010,group_2,0.077
Dortch2010,group_1,0.24
Dortch2010,group_2,0.297
Dortch2010,group_1,0.378
Dortch2010,group_2,0.399
Dortch2010,group_2,0.497
Dortch2010,group_2,0.563
Dortch2010,group_2,0.596
Dortch2010,group_2,0.608
Dortch2010,group_1,0.906
Dortch2010,group_1,1.691
Hawkins2021,group_1,0.003
Hawkins2021,group_1,0.057
Hawkins2021,group_1,0.065
Hawkins2021,group_1,0.066
Hawkins2021,group_1,0.072
Hawkins2021,group_1,0.085
Hawkins2021,group_1,0.09
Hawkins2021,group_1,0.097
Hawkins2021,group_1,0.103
Hawkins2021,group_1,0.114
Hawkins2021,group_1,0.141
Hawkins2021,group_1,0.146
Hawkins2021,group_1,0.178
Hawkins2021,group_1,0.288
Hawkins2021,group_3,0.749
Hawkins2021,group_3,0.767
Hawkins2021,group_3,0.799
Hawkins2021,group_3,0.854
Hawkins2021,group_3,1.101
Hawkins2021,group_3,1.23
Hawkins2021,group_3,1.257
Hawkins2021,group_3,1.31
Hawkins2021,group_3,1.333
Hawkins2021,group_3,1.373
Hawkins2021,group_3,1.597
Hawkins2021,group_3,1.699
Hawkins2021,group_3,1.784
Hawkins2021,group_3,1.796
Hawkins2021,group_3,1.835
Hawkins2021,group_3,2.192
Hawkins2023,group_1,0.039
Hawkins2023,group_2,0.075
Hawkins2023,group_1,0.134
Hawkins2023,group_2,0.187
Hawkins2023,group_2,0.216
Hawkins2023,group_2,0.253
Hawkins2023,group_2,0.253
Hawkins2023,group_2,0.273
Hawkins2023,group_1,0.304
Hawkins2023,group_2,0.326
Hawkins2023,group_2,0.327
Hawkins2023,group_1,0.349
Hawkins2023,group_2,0.349
Hawkins2023,group_2,0.389
Hawkins2023,group_2,0.39
Hawkins2023,group_2,0.428
Hawkins2023,group_2,0.561
Hawkins2023,group_2,0.626
Hawkins2023,group_2,0.633
Hawkins2023,group_2,0.986
Hawkins2023,group_2,1.197
Hawkins2023,group_2,1.532
Hawkins2023,group_2,2.482
Hawkins2023,group_2,2.799
Hawkins2023,group_2,2.994
Hawkins2023,group_2,3.603
Hawkins2023,group_2,4.31
Howley2008,group_2,0.211
Howley2008,group_2,0.359
Mathias2022,group_1,0.109
Mathias2022,group_1,0.196
Mathias2022,group_1,0.317
Mathias2022,group_2,0.432
Mathias2022,group_2,0.761
Mathias2022,group_2,1.156
Mathias2022,group_2,2.094
Menounos2013,group_3,2.286
Menounos2013,group_3,2.478
Menounos2013,group_3,2.579
Menounos2013,group_3,2.623
Menounos2013,group_3,3.21
Pendleton2017,group_3,0.599
Pendleton2017,group_3,0.95
Pendleton2017,group_3,1.019
Pendleton2017,group_3,1.989
Pendleton2017,group_3,2.121
Pendleton2017,group_3,2.192
Pendleton2017,group_3,2.235
Pendleton2017,group_3,2.838
Pendleton2017,group_3,2.851
Pendleton2017,group_3,2.95
Pendleton2017,group_3,3.229
Pendleton2017,group_3,3.332
Young2009,group_3,1.055
Young2009,group_3,1.1
Young2009,group_3,2.131
Young2009,group_3,2.426
Young2009,group_3,2.475
Young2009,group_3,3.395
