NAME,popn_2007,popn_2012,popn_2017
Newfoundland and Labrador,509039,526450,528817
Prince Edward Island,137721,145080,152021
Nova Scotia,935071,944943,953869
New Brunswick,745407,756777,759655
Quebec,7692736,8085906,8394034
Ontario,12764195,13413702,14193384
Manitoba,1189366,1250265,1338109
Saskatchewan,1002048,1086018,1163925
Alberta,3514031,3880755,4286134
British Columbia,4290988,4546290,4817160
Yukon Territory,32557,36058,38459
Northwest Territories,43374,43594,44520
Nunavut,31395,34707,37996
